Id,Price
4567,168752.5304765233
5925,124483.18172135578
960,167186.93067866325
3848,130336.20083197237
746,171865.60103225935
868,392611.21749029483
672,123144.53180461992
2471,206057.44197905337
4510,129770.64412944813
8354,199694.64543503517
6393,175562.83304320218
13270,234232.0971716896
5250,303029.8517657684
16751,167501.20059773338
11404,126482.20410939104
10588,302613.6060357775
14925,220665.60316922472
6791,226658.43178520264
16097,186843.27802112928
16428,407758.87354000314
6945,342606.8157554947
3190,200424.920292694
15709,440986.01721065113
13155,178129.22079219503
7675,203086.91826160133
14686,235023.47413896892
609,168314.21647654517
11155,150252.62971606138
10869,192092.3221913948
15742,209901.81273148896
9245,200518.68093685378
3340,206988.57125790467
2359,290660.3107756903
8070,225512.71632310178
13707,123835.62534052084
16079,289639.89020541124
15937,324219.12015034223
14090,174280.11208059415
9008,184806.4884943086
16384,186048.55179041243
11657,249852.33730611284
13151,152979.18098882
8990,188311.47653662728
11857,179801.8781570948
1565,135680.66961829495
8174,90357.99561389348
9247,257456.8515122845
10478,209566.94423816813
15509,151030.09939169482
8306,182288.54538588566
6642,200585.37996362554
7472,274970.04091231275
15989,131991.66308213395
13682,131363.57320303647
163,224564.668948487
7076,182487.55456402194
7478,332149.8067833909
3029,189037.41079589492
1814,134424.1495017282
10057,114762.54795877337
15100,185997.4941431491
12694,209472.53221571213
6291,171431.3692612973
12603,184620.28979966659
3218,250508.77824637925
13456,120055.79312689688
10170,251522.1246138261
4530,159137.8282298917
13329,158485.88588608598
4820,164791.84054876238
10896,168444.45291506604
13416,119026.95854687657
2701,219524.96415636214
11265,352568.8236063883
9189,296088.861514588
1858,188420.00945643822
14536,234759.65038393944
6199,312525.9851940407
14730,150436.09328976207
7510,245478.4389662863
15505,172567.69069346215
7446,185769.45802266867
14016,186746.48538174838
14113,106666.7798686474
8721,281545.5613439161
6193,272996.80473419564
5717,176062.1408064887
5427,334884.8412512614
9520,485419.195402918
6869,120014.99802600937
1658,152592.56065750908
6639,232481.78268213276
6283,196435.3472436141
6257,133219.99544236725
15235,186560.46274845113
902,215794.48468376003
8932,208169.03756637994
16469,325085.244965345
2825,261620.42259918954
6450,443944.25421540387
11366,180371.38448958297
3801,324869.25110605976
